"Placa";"Vaga";"Categoria Demora";"Data Inicial";"Data Final";"Tempo Indisponível (HH:MM)"
"HJS1097";"CAMINHÃO AUTO VÁCUO - GPS - 01 - 16 HS";"Aguardando Área";"30/06/2025 23:37:25";"01/07/2025 00:19:47";"00:42"
"HJS1097";"CAMINHÃO AUTO VÁCUO - GPS - 01 - 16 HS";"Falta de Acessório";"01/07/2025 00:34:01";"01/07/2025 00:41:41";"00:08"
"DSY6F81";"CAMINHÃO ALTA PRESSÃO - GPS - 01 - 24 HS";"Documentação";"01/07/2025 00:57:15";"01/07/2025 01:16:34";"00:19"
"DSY6F81";"CAMINHÃO ALTA PRESSÃO - GPS - 01 - 24 HS";"Preparação";"01/07/2025 01:17:00";"01/07/2025 01:22:12";"00:05"
"HJS1097";"CAMINHÃO AUTO VÁCUO - GPS - 01 - 16 HS";"Descarregamento";"01/07/2025 01:26:46";"01/07/2025 01:42:31";"00:16"
"CUB0763";"CAMINHÃO AUTO VÁCUO - GPS - 08 - 24 HS";"Descarregamento";"01/07/2025 01:58:14";"01/07/2025 02:23:44";"00:26"
"HJS1097";"CAMINHÃO AUTO VÁCUO - GPS - 01 - 16 HS";"Troca de Equipamento";"01/07/2025 02:13:25";"01/07/2025 02:14:39";"00:01"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 01 - 16 HS";"Descarregamento";"01/07/2025 02:25:52";"01/07/2025 02:25:57";"00:00"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 01 - 16 HS";"Troca de Equipamento";"01/07/2025 02:26:15";"01/07/2025 02:28:54";"00:03"
"DSY6F81";"CAMINHÃO ALTA PRESSÃO - GPS - 01 - 24 HS";"Documentação";"01/07/2025 02:46:18";"01/07/2025 02:52:54";"00:07"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 01 - 16 HS";"Descarregamento";"01/07/2025 03:14:20";"01/07/2025 03:50:07";"00:36"
"CUB0763";"CAMINHÃO AUTO VÁCUO - GPS - 08 - 24 HS";"Descarregamento";"01/07/2025 03:32:45";"01/07/2025 04:09:57";"00:37"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 01 - 16 HS";"Refeição Motorista";"01/07/2025 04:20:25";"01/07/2025 05:38:50";"01:18"
"DSY6F81";"CAMINHÃO ALTA PRESSÃO - GPS - 01 - 24 HS";"Abastecimento (Água)";"01/07/2025 04:22:01";"01/07/2025 04:40:23";"00:18"
"EGC2985";"--";"Troca de Equipamento";"01/07/2025 04:51:27";"01/07/2025 05:02:41";"00:11"
"DSY6472";"CAMINHÃO ALTA PRESSÃO - GPS - 05";"Abastecimento (Combustível) ";"01/07/2025 05:28:37";"01/07/2025 06:08:57";"00:40"
"DSY6472";"CAMINHÃO ALTA PRESSÃO - GPS - 05";"Aguardando Área";"01/07/2025 06:09:16";"01/07/2025 06:18:48";"00:10"
"DSY6472";"CAMINHÃO ALTA PRESSÃO - GPS - 05";"Preparação";"01/07/2025 06:19:01";"01/07/2025 06:55:37";"00:37"
"CUB0763";"CAMINHÃO AUTO VÁCUO - GPS - 04";"Preparação";"01/07/2025 07:17:50";"01/07/2025 07:53:30";"00:36"
"EGC2978";"CAMINHÃO ALTA PRESSÃO - GPS - 07";"Abastecimento (Combustível) ";"01/07/2025 07:21:40";"01/07/2025 08:04:09";"00:42"
"PUB2F80";"CAMINHÃO ALTA PRESSÃO - GPS - 10";"Abastecimento (Combustível) ";"01/07/2025 07:25:35";"01/07/2025 07:45:15";"00:20"
"EZS8765";"CAMINHÃO ALTA PRESSÃO - GPS - 04";"Pequenas manutenções";"01/07/2025 07:32:06";"01/07/2025 07:54:01";"00:22"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"Documentação";"01/07/2025 07:32:36";"01/07/2025 08:34:00";"01:01"
"DSY6475";"CAMINHÃO ALTA PRESSÃO - GPS - 06";"Abastecimento (Combustível) ";"01/07/2025 07:37:29";"01/07/2025 08:03:33";"00:26"
"PUB2F80";"CAMINHÃO ALTA PRESSÃO - GPS - 10";"Documentação";"01/07/2025 07:45:25";"01/07/2025 08:02:07";"00:17"
"DSY6474";"CAMINHÃO ALTA PRESSÃO - GPS - 02";"Abastecimento (Combustível) ";"01/07/2025 07:53:02";"01/07/2025 08:03:20";"00:10"
"EZS8765";"CAMINHÃO ALTA PRESSÃO - GPS - 04";"Abastecimento (Combustível) ";"01/07/2025 08:00:41";"01/07/2025 08:35:54";"00:35"
"PUB2F80";"CAMINHÃO ALTA PRESSÃO - GPS - 10";"Aguardando Área";"01/07/2025 08:03:35";"01/07/2025 08:08:56";"00:05"
"EZS8764";"CAMINHÃO ALTA PRESSÃO - GPS - 03";"Abastecimento (Combustível) ";"01/07/2025 08:04:07";"01/07/2025 08:25:11";"00:21"
"PUB2F80";"CAMINHÃO ALTA PRESSÃO - GPS - 10";"Documentação";"01/07/2025 08:09:14";"01/07/2025 08:54:02";"00:45"
"EGC2989";"CAMINHÃO ALTA PRESSÃO - GPS - 11";"Abastecimento (Combustível) ";"01/07/2025 08:10:36";"01/07/2025 08:42:22";"00:32"
"DSY6471";"CAMINHÃO HIPER VÁCUO - GPS - 01";"Documentação";"01/07/2025 08:15:31";"01/07/2025 08:26:17";"00:11"
"EAM3256";"CAMINHÃO ALTA PRESSÃO - GPS - 09";"Pequenas manutenções";"01/07/2025 08:16:25";"01/07/2025 09:22:07";"01:06"
"EAM3262";"CAMINHÃO ALTA PRESSÃO - GPS - 12";"Pequenas manutenções";"01/07/2025 08:18:47";"01/07/2025 08:34:01";"00:15"
"FMD2200";"CAMINHÃO HIPER VÁCUO - GPS - 02";"Documentação";"01/07/2025 08:21:25";"01/07/2025 08:58:19";"00:37"
"DSY6472";"CAMINHÃO ALTA PRESSÃO - GPS - 05";"Abastecimento (Água)";"01/07/2025 08:22:30";"01/07/2025 08:51:15";"00:29"
"DSY6474";"CAMINHÃO ALTA PRESSÃO - GPS - 02";"Documentação";"01/07/2025 08:24:16";"01/07/2025 08:43:26";"00:19"
"EZS8764";"CAMINHÃO ALTA PRESSÃO - GPS - 03";"Documentação";"01/07/2025 08:25:32";"01/07/2025 09:26:53";"01:01"
"EAM3251";"CAMINHÃO AUTO VÁCUO - GPS - 09";"Documentação";"01/07/2025 08:30:55";"01/07/2025 08:49:35";"00:19"
"EGC2978";"CAMINHÃO ALTA PRESSÃO - GPS - 07";"Documentação";"01/07/2025 08:32:01";"01/07/2025 08:49:22";"00:17"
"DSY6473";"CAMINHÃO AUTO VÁCUO - GPS - 07";"Preparação";"01/07/2025 08:34:26";"01/07/2025 09:02:37";"00:28"
"EAM3262";"CAMINHÃO ALTA PRESSÃO - GPS - 12";"Abastecimento (Água)";"01/07/2025 08:35:17";"01/07/2025 08:55:33";"00:20"
"HJS1097";"CAMINHÃO AUTO VÁCUO - GPS - 03";"Aguardando Área";"01/07/2025 08:35:51";"01/07/2025 09:10:06";"00:34"
"DSY6471";"CAMINHÃO HIPER VÁCUO - GPS - 01";"Documentação";"01/07/2025 08:36:59";"01/07/2025 09:01:50";"00:25"
"EZS8765";"CAMINHÃO ALTA PRESSÃO - GPS - 04";"Pequenas manutenções";"01/07/2025 08:37:44";"01/07/2025 08:39:23";"00:02"
"DYB7210";"CAMINHÃO AUTO VÁCUO - GPS - 06";"Documentação";"01/07/2025 08:38:58";"01/07/2025 09:05:33";"00:27"
"DSY6474";"CAMINHÃO ALTA PRESSÃO - GPS - 02";"Bloqueio";"01/07/2025 08:43:40";"01/07/2025 08:59:58";"00:16"
"DSY6475";"CAMINHÃO ALTA PRESSÃO - GPS - 06";"Documentação";"01/07/2025 08:43:46";"01/07/2025 09:33:58";"00:50"
"EGC2989";"CAMINHÃO ALTA PRESSÃO - GPS - 11";"Abastecimento (Água)";"01/07/2025 08:44:46";"01/07/2025 09:04:28";"00:20"
"DSY6577";"CAMINHÃO AUTO VÁCUO - GPS - 10";"Documentação";"01/07/2025 08:47:01";"01/07/2025 09:00:06";"00:13"
"ANF-2676";"CAMINHÃO AUTO VÁCUO - GPS - 08 - 24 HS";"Documentação";"01/07/2025 08:48:53";"01/07/2025 09:32:47";"00:44"
"EGC2978";"CAMINHÃO ALTA PRESSÃO - GPS - 07";"Bloqueio";"01/07/2025 08:49:49";"01/07/2025 09:14:13";"00:24"
"EAM3251";"CAMINHÃO AUTO VÁCUO - GPS - 09";"Aguardando Área";"01/07/2025 08:51:14";"01/07/2025 09:10:09";"00:19"
"EZS8765";"CAMINHÃO ALTA PRESSÃO - GPS - 04";"Abastecimento (Água)";"01/07/2025 08:51:23";"01/07/2025 09:27:02";"00:36"
"PUB2F80";"CAMINHÃO ALTA PRESSÃO - GPS - 10";"Aguardando Área";"01/07/2025 08:54:16";"01/07/2025 09:59:10";"01:05"
"CUB0763";"CAMINHÃO AUTO VÁCUO - GPS - 04";"Documentação";"01/07/2025 08:55:52";"01/07/2025 11:06:09";"02:10"
"FMD2200";"CAMINHÃO HIPER VÁCUO - GPS - 02";"Aguardando Área";"01/07/2025 08:58:35";"01/07/2025 11:06:37";"02:08"
"DSY6577";"CAMINHÃO AUTO VÁCUO - GPS - 10";"Falta de Acessório";"01/07/2025 09:00:21";"01/07/2025 09:44:47";"00:44"
"DSY6471";"CAMINHÃO HIPER VÁCUO - GPS - 01";"Preparação";"01/07/2025 09:02:06";"01/07/2025 09:27:08";"00:25"
"EAM3262";"CAMINHÃO ALTA PRESSÃO - GPS - 12";"Aguardando Área";"01/07/2025 09:06:07";"01/07/2025 09:06:12";"00:00"
"EAM3262";"CAMINHÃO ALTA PRESSÃO - GPS - 12";"Documentação";"01/07/2025 09:06:27";"01/07/2025 09:32:20";"00:26"
"EGC2983";"CAMINHÃO ALTA PRESSÃO - GPS - 08 - 24 HS";"Documentação";"01/07/2025 09:11:00";"01/07/2025 09:28:04";"00:17"
"EGC2989";"CAMINHÃO ALTA PRESSÃO - GPS - 11";"Aguardando Área";"01/07/2025 09:19:58";"01/07/2025 09:34:55";"00:15"
"DSY6474";"CAMINHÃO ALTA PRESSÃO - GPS - 02";"Pequenas manutenções";"01/07/2025 09:21:16";"01/07/2025 09:24:19";"00:03"
"FSA3D71";"CAMINHÃO AUTO VÁCUO - GPS - 05";"Aguardando Área";"01/07/2025 09:22:11";"01/07/2025 09:22:14";"00:00"
"FSA3D71";"CAMINHÃO AUTO VÁCUO - GPS - 05";"Documentação";"01/07/2025 09:22:26";"01/07/2025 09:30:18";"00:08"
"EZS8764";"CAMINHÃO ALTA PRESSÃO - GPS - 03";"Preparação";"01/07/2025 09:27:14";"01/07/2025 09:39:33";"00:12"
"EZS8765";"CAMINHÃO ALTA PRESSÃO - GPS - 04";"Aguardando Área";"01/07/2025 09:27:17";"01/07/2025 09:56:12";"00:29"
"EAM3257";"CAMINHÃO AUTO VÁCUO - GPS - 02 - 16 HS";"Descarregamento";"01/07/2025 09:27:30";"01/07/2025 09:43:07";"00:16"
"EGC2983";"CAMINHÃO ALTA PRESSÃO - GPS - 08 - 24 HS";"Bloqueio";"01/07/2025 09:28:18";"01/07/2025 10:35:53";"01:08"
"EAM3256";"CAMINHÃO ALTA PRESSÃO - GPS - 09";"Abastecimento (Combustível) ";"01/07/2025 09:32:48";"01/07/2025 10:04:10";"00:31"
"EAM3262";"CAMINHÃO ALTA PRESSÃO - GPS - 12";"Inicio de turno";"01/07/2025 09:32:59";"01/07/2025 09:33:04";"00:00"
"EAM3262";"CAMINHÃO ALTA PRESSÃO - GPS - 12";"Bloqueio";"01/07/2025 09:33:17";"01/07/2025 09:33:22";"00:00"
"EAM3262";"CAMINHÃO ALTA PRESSÃO - GPS - 12";"Bloqueio";"01/07/2025 09:33:33";"01/07/2025 09:33:39";"00:00"
"EAM3262";"CAMINHÃO ALTA PRESSÃO - GPS - 12";"Aguardando Área";"01/07/2025 09:33:46";"01/07/2025 09:46:27";"00:13"
"DSY6475";"CAMINHÃO ALTA PRESSÃO - GPS - 06";"Preparação";"01/07/2025 09:35:18";"01/07/2025 10:19:12";"00:44"
"EAM3251";"CAMINHÃO AUTO VÁCUO - GPS - 09";"Descarregamento";"01/07/2025 09:40:05";"01/07/2025 09:46:34";"00:06"
"DSY6577";"CAMINHÃO AUTO VÁCUO - GPS - 10";"Aguardando Área";"01/07/2025 09:45:20";"01/07/2025 10:10:44";"00:25"
"EAM3262";"CAMINHÃO ALTA PRESSÃO - GPS - 12";"Aguardando Área";"01/07/2025 09:46:41";"01/07/2025 10:09:52";"00:23"
"EAM3251";"CAMINHÃO AUTO VÁCUO - GPS - 09";"Abastecimento (Água)";"01/07/2025 09:46:48";"01/07/2025 10:05:01";"00:18"
"DSY6473";"CAMINHÃO AUTO VÁCUO - GPS - 07";"Preparação";"01/07/2025 09:47:41";"01/07/2025 12:10:21";"02:23"
"PUB2F80";"CAMINHÃO ALTA PRESSÃO - GPS - 10";"Bloqueio";"01/07/2025 09:59:23";"01/07/2025 11:04:45";"01:05"
"EGC2989";"CAMINHÃO ALTA PRESSÃO - GPS - 11";"Aguardando Área";"01/07/2025 10:04:26";"01/07/2025 10:09:58";"00:06"
"DSY6472";"CAMINHÃO ALTA PRESSÃO - GPS - 05";"Bloqueio";"01/07/2025 10:07:36";"01/07/2025 10:37:44";"00:30"
"EAM3262";"CAMINHÃO ALTA PRESSÃO - GPS - 12";"Preparação";"01/07/2025 10:10:04";"01/07/2025 10:21:37";"00:12"
"FSA3D71";"CAMINHÃO AUTO VÁCUO - GPS - 05";"Aguardando Área";"01/07/2025 10:12:51";"01/07/2025 10:15:25";"00:03"
"DSY6474";"CAMINHÃO ALTA PRESSÃO - GPS - 02";"Documentação";"01/07/2025 10:17:20";"01/07/2025 10:40:34";"00:23"
"ANF-2676";"CAMINHÃO AUTO VÁCUO - GPS - 08 - 24 HS";"Descarregamento";"01/07/2025 10:18:43";"01/07/2025 10:41:04";"00:22"
"EGC2989";"CAMINHÃO ALTA PRESSÃO - GPS - 11";"Aguardando Área";"01/07/2025 10:22:28";"01/07/2025 10:30:36";"00:08"
"EZS8765";"CAMINHÃO ALTA PRESSÃO - GPS - 04";"Documentação";"01/07/2025 10:29:22";"01/07/2025 10:47:44";"00:18"
"EGC2989";"CAMINHÃO ALTA PRESSÃO - GPS - 11";"Documentação";"01/07/2025 10:31:47";"01/07/2025 10:46:09";"00:14"
"DSY6474";"CAMINHÃO ALTA PRESSÃO - GPS - 02";"Preparação";"01/07/2025 10:41:02";"01/07/2025 10:51:33";"00:11"
"EGC2989";"CAMINHÃO ALTA PRESSÃO - GPS - 11";"Preparação";"01/07/2025 10:46:45";"01/07/2025 11:14:53";"00:28"
